RODADA DE LICITAÇÃO;ANO;TIPO DE DADO;VALOR DA VARIÁVEL
Rodada 17;2021;Empresas ofertantes;2
Rodada 1;1999;Empresas ofertantes nacionais;1
Rodada 2;2000;Empresas ofertantes nacionais;4
Rodada 3;2001;Empresas ofertantes nacionais;4
Rodada 4;2002;Empresas ofertantes nacionais;4
Rodada 5;2003;Empresas ofertantes nacionais;2
Rodada 6;2004;Empresas ofertantes nacionais;7
Rodada 7;2005;Empresas ofertantes nacionais;14
Rodada 9;2007;Empresas ofertantes nacionais;25
Rodada 10;2008;Empresas ofertantes nacionais;18
Rodada 11;2013;Empresas ofertantes nacionais;12
Rodada 12;2013;Empresas ofertantes nacionais;8
Rodada 13;2015;Empresas ofertantes nacionais;11
Rodada 14 ;2017;Empresas ofertantes nacionais;10
Rodada 15;2018;Empresas ofertantes nacionais;2
Rodada 16;2019;Empresas ofertantes nacionais;1
Rodada 17;2021;Empresas ofertantes nacionais;-
Rodada 1;1999;Empresas ofertantes estrangeiras;13
Rodada 2;2000;Empresas ofertantes estrangeiras;23
Rodada 3;2001;Empresas ofertantes estrangeiras;22
Rodada 4;2002;Empresas ofertantes estrangeiras;13
Rodada 5;2003;Empresas ofertantes estrangeiras;4
Rodada 6;2004;Empresas ofertantes estrangeiras;14
Rodada 7;2005;Empresas ofertantes estrangeiras;18
Rodada 9;2007;Empresas ofertantes estrangeiras;17
Rodada 10;2008;Empresas ofertantes estrangeiras;5
Rodada 11;2013;Empresas ofertantes estrangeiras;27
Rodada 12;2013;Empresas ofertantes estrangeiras;4
Rodada 13;2015;Empresas ofertantes estrangeiras;6
Rodada 14 ;2017;Empresas ofertantes estrangeiras;10
Rodada 15;2018;Empresas ofertantes estrangeiras;11
Rodada 16;2019;Empresas ofertantes estrangeiras;10
Rodada 17;2021;Empresas ofertantes estrangeiras;2
Rodada 1;1999;Empresas vencedoras;11
Rodada 2;2000;Empresas vencedoras;16
Rodada 3;2001;Empresas vencedoras;22
Rodada 4;2002;Empresas vencedoras;14
Rodada 5;2003;Empresas vencedoras;6
Rodada 6;2004;Empresas vencedoras;19
Rodada 7;2005;Empresas vencedoras;30
Rodada 9;2007;Empresas vencedoras;36
Rodada 10;2008;Empresas vencedoras;17
Rodada 11;2013;Empresas vencedoras;30
Rodada 12;2013;Empresas vencedoras;12
Rodada 13;2015;Empresas vencedoras;17
Rodada 14 ;2017;Empresas vencedoras;17
Rodada 15;2018;Empresas vencedoras;12
Rodada 16;2019;Empresas vencedoras;10
Rodada 17;2021;Empresas vencedoras;2
Rodada 1;1999;Empresas vencedoras nacionais;1
Rodada 2;2000;Empresas vencedoras nacionais;4
Rodada 3;2001;Empresas vencedoras nacionais;4
Rodada 4;2002;Empresas vencedoras nacionais;4
Rodada 5;2003;Empresas vencedoras nacionais;2
Rodada 6;2004;Empresas vencedoras nacionais;7
