REGIÃO REOGRÁFICA;PAÍS;PRODUTO;EXPORTAÇÃO DE DERIVADOS DE PETRÓLEO
África;África do Sul;Gasolina A;0
África;África do Sul;Solvente;0
África;África do Sul;Coque;29
África;África do Sul;Lubrificante;0,1
África;África do Sul;Diesel;0
África;África do Sul;GLP;0
África;Benin;Óleo combustível;0
África;Benin;Gasolina A;0
África;Benin;Solvente;0
África;Benin;Coque;0
África;Benin;Lubrificante;0
África;Benin;Diesel;0
África;Benin;GLP;0
África;Camarões;Óleo combustível;0
África;Camarões;Gasolina A;0
África;Camarões;Solvente;0
África;Camarões;Coque;7,1
África;Camarões;Lubrificante;0
África;Camarões;Diesel;0
África;Camarões;GLP;0
África;Libéria;Óleo combustível;598,3
África;Libéria;Gasolina A;0
África;Libéria;Solvente;0
África;Libéria;Coque;0
África;Libéria;Lubrificante;0,7
África;Libéria;Diesel;0,5
África;Libéria;GLP;0
África;Senegal;Óleo combustível;0
África;Senegal;Gasolina A;0
África;Senegal;Solvente;0
África;Senegal;Coque;0
África;Senegal;Lubrificante;0
África;Senegal;Diesel;0
África;Senegal;GLP;0
África;Outros5;Óleo combustível;1,4
África;Outros5;Gasolina A;0
África;Outros5;Solvente;1,2
África;Outros5;Coque;0
África;Outros5;Lubrificante;0,1
África;Outros5;Diesel;0,1
África;Outros5;GLP;0
Ásia-Pacífico;China;Óleo combustível;47,7
Ásia-Pacífico;China;Gasolina A;0
Ásia-Pacífico;China;Solvente;0
Ásia-Pacífico;China;Coque;168,4
Ásia-Pacífico;China;Lubrificante;1,6
Ásia-Pacífico;China;Diesel;0,1
Ásia-Pacífico;China;GLP;0
Ásia-Pacífico;Hong Kong;Óleo combustível;350,6
Ásia-Pacífico;Hong Kong;Gasolina A;0
Ásia-Pacífico;Hong Kong;Solvente;0
Ásia-Pacífico;Hong Kong;Coque;0
Ásia-Pacífico;Hong Kong;Lubrificante;0,6
Ásia-Pacífico;Hong Kong;Diesel;0,5
Ásia-Pacífico;Hong Kong;GLP;0
Ásia-Pacífico;Ilhas Marshall;Óleo combustível;541,5
Ásia-Pacífico;Ilhas Marshall;Gasolina A;0
Ásia-Pacífico;Ilhas Marshall;Solvente;0
Ásia-Pacífico;Ilhas Marshall;Coque;0
Ásia-Pacífico;Ilhas Marshall;Lubrificante;0,8
Ásia-Pacífico;Ilhas Marshall;Diesel;2
Ásia-Pacífico;Ilhas Marshall;GLP;0
Ásia-Pacífico;Singapura;Óleo combustível;8006,5
Ásia-Pacífico;Singapura;Gasolina A;267,2
Ásia-Pacífico;Singapura;Solvente;0
Ásia-Pacífico;Singapura;Coque;43,5
Ásia-Pacífico;Singapura;Lubrificante;19,8
Ásia-Pacífico;Singapura;Diesel;4,3
Ásia-Pacífico;Singapura;GLP;0
Ásia-Pacífico;Outros6;Óleo combustível;70,2
Ásia-Pacífico;Outros6;Gasolina A;0
Ásia-Pacífico;Outros6;Solvente;0,2
Ásia-Pacífico;Outros6;Coque;2,1
Ásia-Pacífico;Outros6;Lubrificante;6
Ásia-Pacífico;Outros6;Diesel;1,7
Ásia-Pacífico;Outros6;GLP;0
