GRANDES REGIÕES;UNIDADDES DA FEDERAÇÃO;VENDAS DE GASOLINA DE AVIAÇÃO PELAS DISTRIBUIDORAS;ANO
Região Centro-Oeste ;Mato Grosso do Sul;3523,069;2016
Região Centro-Oeste ;Mato Grosso do Sul;3205,558;2017
Região Centro-Oeste ;Mato Grosso do Sul;2896,798;2018
Região Centro-Oeste ;Mato Grosso do Sul;2049,508;2019
Região Centro-Oeste ;Mato Grosso do Sul;1937,125;2020
Região Centro-Oeste ;Mato Grosso do Sul;2359,996;2021
Região Centro-Oeste ;Mato Grosso;7371;2012
Região Centro-Oeste ;Mato Grosso;7251,83635;2013
Região Centro-Oeste ;Mato Grosso;7011,832;2014
Região Centro-Oeste ;Mato Grosso;5819,79882;2015
Região Centro-Oeste ;Mato Grosso;5160,097;2016
Região Centro-Oeste ;Mato Grosso;4874,851;2017
Região Centro-Oeste ;Mato Grosso;4451,782;2018
Região Centro-Oeste ;Mato Grosso;3998,945;2019
Região Centro-Oeste ;Mato Grosso;3340,082;2020
Região Centro-Oeste ;Mato Grosso;4461,491;2021
Região Centro-Oeste ;Goiás;5861;2012
Região Centro-Oeste ;Goiás;5785,730979;2013
Região Centro-Oeste ;Goiás;5877,868;2014
Região Centro-Oeste ;Goiás;4764,623594;2015
Região Centro-Oeste ;Goiás;4301,211;2016
Região Centro-Oeste ;Goiás;3220,396;2017
Região Centro-Oeste ;Goiás;3248,509;2018
Região Centro-Oeste ;Goiás;2451,407;2019
Região Centro-Oeste ;Goiás;2328,315;2020
Região Centro-Oeste ;Goiás;3604,156;2021
Região Centro-Oeste ;Distrito Federal;701;2012
Região Centro-Oeste ;Distrito Federal;598,1340379;2013
Região Centro-Oeste ;Distrito Federal;475,484;2014
Região Centro-Oeste ;Distrito Federal;366,1760441;2015
Região Centro-Oeste ;Distrito Federal;435,988;2016
Região Centro-Oeste ;Distrito Federal;241,307;2017
Região Centro-Oeste ;Distrito Federal;260,743;2018
Região Centro-Oeste ;Distrito Federal;163,79;2019
Região Centro-Oeste ;Distrito Federal;9,948;2020
Região Centro-Oeste ;Distrito Federal;314,7;2021
