BENEFICIÁRIO;ANO;DISTRIBUIÇÃO DA PARTICIPAÇÃO ESPECIAL SOBRE A PRODUÇÃO DE PETRÓLEO E DE GÁS NATURAL
Município de Peruíbe-SP;2013;0
Município de Peruíbe-SP;2014;122,39532
Município de Peruíbe-SP;2015;138,19278
Município de Peruíbe-SP;2016;19,36276
Município de Peruíbe-SP;2017;250,67284
Município de Peruíbe-SP;2018;208,58727
Município de Peruíbe-SP;2019;298,34033
Município de Peruíbe-SP;2020;117,98015
Município de Peruíbe-SP;2021;134,69642
Município de Pilar-AL;2012;0
Município de Pilar-AL;2013;0
Município de Pilar-AL;2014;0
Município de Pilar-AL;2015;0
Município de Pilar-AL;2016;0
Município de Pilar-AL;2017;0
Município de Pilar-AL;2018;0
Município de Pilar-AL;2019;0
Município de Pilar-AL;2020;0
Município de Pilar-AL;2021;5,26799
Município de Piúma-ES;2012;733
Município de Piúma-ES;2013;433,66363
Município de Piúma-ES;2014;324,99999
Município de Piúma-ES;2015;134,64519
Município de Piúma-ES;2016;1,31073
Município de Piúma-ES;2017;0
Município de Piúma-ES;2018;0
Município de Piúma-ES;2019;1409,9268
Município de Piúma-ES;2020;805,12711
Município de Piúma-ES;2021;1157,66494
Município de Pojuca-BA;2012;0
Município de Pojuca-BA;2013;0
Município de Pojuca-BA;2014;0
Município de Pojuca-BA;2015;0
Município de Pojuca-BA;2016;0
Município de Pojuca-BA;2017;0
Município de Pojuca-BA;2018;25,69946
Município de Pojuca-BA;2019;0
Município de Pojuca-BA;2020;0
Município de Pojuca-BA;2021;65,64823
Município de Presidente Kennedy-ES;2012;142068
Município de Presidente Kennedy-ES;2013;127225,1602
Município de Presidente Kennedy-ES;2014;142292,0142
Município de Presidente Kennedy-ES;2015;107297,8315
Município de Presidente Kennedy-ES;2016;61023,40211
Município de Presidente Kennedy-ES;2017;94353,18743
Município de Presidente Kennedy-ES;2018;143713,9482
Município de Presidente Kennedy-ES;2019;173320,3407
Município de Presidente Kennedy-ES;2020;73791,11835
Município de Presidente Kennedy-ES;2021;120641,1068
Município de Quissamã-RJ;2012;15338
Município de Quissamã-RJ;2013;11200,4108
Município de Quissamã-RJ;2014;7965,44609
Município de Quissamã-RJ;2015;4619,26816
Município de Quissamã-RJ;2016;1139,97055
Município de Quissamã-RJ;2017;2330,94434
Município de Quissamã-RJ;2018;2095,24385
Município de Quissamã-RJ;2019;3916,41663
Município de Quissamã-RJ;2020;7695,16509
Município de Quissamã-RJ;2021;9101,32217
Município de Rio das Ostras-RJ;2012;164346
Município de Rio das Ostras-RJ;2013;141988,3663
Município de Rio das Ostras-RJ;2014;139789,8876
Município de Rio das Ostras-RJ;2015;40104,33686
